date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:00	14575/14575	---M-Z	200	added ('OK')	text/html	etag:%226e418a-38ef-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:32:00	1417/1417	---M--	200	added ('OK')	image/jpeg	etag:%226e41c3-589-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj9.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj9.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:32:01	266/266	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:01%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/Lake.class	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/Lake.class	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/princi.htm)
18:32:01	273/273	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:01%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/images/fondat.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/images/fondat.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/datos.htm)
18:32:02	988/988	---M--	200	added ('OK')	image/gif	etag:%226e41b5-3dc-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/correo.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/correo.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/datos.htm)
18:32:02	275/275	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:02%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/images/fondprin.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/images/fondprin.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/comuni.htm)
18:32:02	245/245	---M--	200	added ('OK')	image/gif	etag:%226e41ab-f5-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/boton.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/boton.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/estruct.htm)
18:32:03	274/274	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:03%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/images/fondfot.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/images/fondfot.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:03	2844/2844	---M--	200	added ('OK')	image/gif	etag:%226e41c4-b1c-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/barra.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/barra.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/estruct.htm)
18:32:09	38652/38652	---M--	200	added ('OK')	image/gif	etag:%226e419d-96fc-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/biblio.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/biblio.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
